City_ID,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
92,Chokurdakh,99,RU,100,70.6333,147.9167,-41.75,1.98
93,Lagoa,100,PT,90,39.05,-27.9833,16.22,11.76
94,Beringovskiy,100,RU,96,63.05,179.3167,-19.06,6.45
95,Tarko-Sale,22,RU,90,64.9225,77.785,-39.26,4.31
96,Faanui,12,PF,72,-16.4833,-151.75,26.43,0.85
97,Saurimo,97,AO,85,-9.6608,20.3916,21.84,1.87
98,Kongsberg,100,NO,99,59.6652,9.6465,-1.99,0.85
99,Santa Rosa,73,PH,77,14.3122,121.1114,24.99,6.2
100,Busselton,0,AU,88,-33.65,115.3333,13.66,4.18
101,Primorsk,90,UA,40,46.7348,36.3443,-3.76,3.77
102,Visby,99,SE,92,57.6409,18.296,1.01,7.3
103,Mogadishu,64,SO,85,2.0371,45.3438,25.8,9.47
104,Kaitangata,5,NZ,89,-46.2817,169.8464,8.67,2.98
105,Yar-Sale,91,RU,100,66.8333,70.8333,-39.1,2.97
106,Vaini,75,TO,89,-21.2,-175.2,27.09,5.66
107,Sitka,40,US,61,57.0531,-135.33,8.94,4.63
108,Lamar,20,US,83,33.6668,-95.5836,15.36,4.63
109,Tuktoyaktuk,94,CA,98,69.4541,-133.0374,-27.24,2.89
110,Fairbanks,100,US,83,64.8378,-147.7164,-14.67,1.54
111,Phek,4,IN,89,25.6667,94.5,5.55,0.63
112,Kapaa,0,US,88,22.0752,-159.319,19.18,3.6
113,Colares,75,PT,97,38.7992,-9.4469,17.41,8.94
114,Hithadhoo,27,MV,77,-0.6,73.0833,27.09,4.87
115,Mount Isa,75,AU,100,-20.7333,139.5,22.87,1.03
116,Vestmanna,75,FO,93,62.1564,-7.1664,2.51,1.03
117,Nikolskoye,55,RU,94,59.7035,30.7861,-14.06,1.81
118,Guanica,11,PR,69,17.9716,-66.908,29.55,2.31
119,Kavieng,50,PG,77,-2.5744,150.7967,27.64,2.5
120,Stanari,55,BA,72,44.7472,17.8294,6.38,0.34
121,Guerrero Negro,0,MX,35,27.9769,-114.0611,16.39,0.47
122,Borba,76,BR,64,-4.3878,-59.5939,30.55,1.01
123,Oistins,40,BB,78,13.0667,-59.5333,28.05,9.77
124,Kodiak,0,US,74,57.79,-152.4072,-1.27,3.6
125,Iquitos,75,PE,94,-3.7481,-73.2472,26.02,2.57
126,Tiarei,10,PF,75,-17.5333,-149.3333,26.01,4.38
127,Luderitz,1,NA,50,-26.6481,15.1594,23.72,2.54
128,San Luis,72,AR,18,-33.295,-66.3356,34.06,6.95
